Bus_Route, Long line name,Fare(Frw)
101,  REMERA _ VILLE,220
102, KABUGA _ NYABUGOGO,517
103, RUBILIZI_REMERA_VILLE,334
104, KANOMBE _ VILLE,364
105,  REMERA _ KACYIRU _ NYABUGOGO ,264
106, REMERA _ NDERA,194
107, REMERA _ MASAKA,273
108, REMERA_KICUKIRO CENTRE,185
109, REMERA_RWANDEX_RWERANKORI,219
110, KABUGA_MASAKA,110
111, REMERA_MULINDI_KABUGA,294
112, REMERA _ RWANDEX _ NYABUGOGO,220
114, REMERA_KANOMBE_KIBAYA,163
115, REMERA-BUSANZA,250
118, NYANZA - MUYANGE,208
120, DOWNTOWN - REMERA,220
133, KABUGA-NYAGASAMBU,300
145, NYABUGOGO-CYUMBATI,
146, REMERA-BUSANZA,250
148, REMERA_RUBILIZI_BUSANZA,
149,  REMERA_12_SEZ,212
150, RUBIRIZI_NYABUGOGO,341
154, REMERA_MULINDI_GASOGI,310
156,  KANOMBE _ KACYIRU _ NYABUGOGO,517
201, ST JSPH _CDS_ SNTB_VILLE,286
203, NYANZ_KICUK_GATEN_VILLE,277
204, NYANZ_ZION_RWNDX_NYAB,299
205, VILLE _ BWERANKOLI,268
206, NYABUGOGO _ BWERANKORI,271
207, NYANZA _ MUYANGE,208
208, NYANZA_GAHANGA,200
211, NYANZ_KICUK_SONATU_KACYI,259
212, ST JSPH _CDS_ SNTB_NYAB,272
213, NYANZA_KIMIRONKO,231
214, NYANZ_KICUK_GATEN_NYABU,299
215, BWEREANKOLI _ KIMIRONKO,289
412,  NYABUGOGO-NZOVE-GITIKINYONI,108
301,  DOWNTOWN-RDB-KINYINYA,286
302,  KIMIRONKO-KIE-CHEZ LANDO-CBD,253
303,  DOWNTOWN-GAKINJIRO-KAGUGU-BATSINDA,216
304,  DOWNTOWN-KIMIHURURA-FAYSAL-KACYIRU,264
305,  KIMIRONKO-CHEZ LANDO-NYABUGOGO,264
306,  KIMIRONKO-ZINDIRO -MASIZI-BIREMBO,216
308,  ZINDIRO-CHEZ LANDO-CBD,341
309,  KIMIRONKO -KIBAGABAGA-KINYINYA,216
310,  NYABUGOGO-GAKINJIRO-KAGUGU-BATSINDA,216
311,  NYABUGOGO -ULK-FAWE-KAGUGU,216
313,  DOWNTOWN-ULK-FAWE-KAGUGU,216
314,  KIMIRONKO-KIBAGABAGA-UTEXRWA-NYABUGOGO,242
315,  NYABUGOGO -UTEXRWA-KINYINYA,275
316,  KIMIRONKO-ZINDIRO-AZAM ROUND-ABOUT,108
317,  DOWNTOWN-UTEXRWA-KINYINYA,244
318,  KIMIRONKO-KIBAGABAGA-BATSINDA,216
321,  GASANZE-BATSINDA-NYABUGOGO,326
322,  KIMIRONKO-MULINDI-MASAKA,253
323,  ZINDIRO-NYABUGOGO,352
325,  KIMIRONKO-MULINDI-KABUGA,297
401,  NYAMIRAMBO-CHUK-CBD,176
402,  DOWNTOWN-NYABUGOGO-NYAMIRAMBO,220
403,  DOWNTOWN-NYABUGOGO-NYACYONGA,297
404,  NYABUGOGO-RUYENZI-BISHENYI,272
405,  NYABUGOGO-KANYINYA(TABA),341
406,  NYAMIRAMBO(ERP)-MIDUHA-MAGERAGERE,268
407,  NYABUGOGO-KARURUMA-NYACYONGA,219
411,  NYABUGOGO-NZOVE-RUTONDE,277
414,  NYABUGOGO-RURIBA-KARAMA COMPLEX SCHOOL,222
415,  NYABUGOGO-DOWNTOWN,150
416,  NYABUGOGO-GIHARA(Market),272
417,  KARAMA(Norvege)-RYANYUMA,150
418,  NYABUGOGO-KARURUMA-BWERAMVURA,200
202,nyanza-nyabugogi,277
